YEAR_COURSE,PROV_NAME,SBJ_NAME, STUDENT_CNT ,AVG_SCORE,SD_SCORE,MED_SCORE,MOD_SCORE,MIN_SCORE,MAX_SCORE
2563,??????,???????," 4,091 ",57.88,16.30,60.00,65.00,11.25,96.25
2563,??????,??????????," 4,058 ",33.45,12.96,30.00,27.50,2.50,97.50
2563,??????,??????????," 4,100 ",25.90,14.78,24.00,20.00,0.00,100.00
2563,??????,???????????," 4,063 ",30.18,9.33,29.40,27.20,7.40,84.20
2563,???????,???????," 7,171 ",42.21,14.91,40.00,37.50,5.00,90.00
2563,???????,??????????," 7,049 ",30.03,10.51,27.50,27.50,2.50,95.00
2563,???????,??????????," 7,178 ",20.65,10.00,20.00,20.00,0.00,96.00
2563,???????,???????????," 7,112 ",26.61,7.54,25.80,25.00,2.20,84.60
2563,????,???????," 4,817 ",45.35,15.87,43.75,32.50,8.75,93.75
2563,????,??????????," 4,739 ",31.11,11.37,30.00,27.50,2.50,97.50
2563,????,??????????," 4,838 ",21.74,11.29,20.00,20.00,0.00,100.00
2563,????,???????????," 4,786 ",26.96,7.84,26.80,25.00,4.40,82.40
2563,????????,???????," 6,292 ",42.49,15.16,40.00,33.75,5.00,96.25
2563,????????,??????????," 6,263 ",29.60,10.30,27.50,25.00,5.00,92.50
2563,????????,??????????," 6,293 ",20.49,10.07,20.00,16.00,0.00,100.00
2563,????????,???????????," 6,272 ",26.87,7.65,26.80,25.00,0.00,82.40
2564,?????????????,???????," 18,954 ",59.76,16.24,61.48,66.62,6.50,98.75
2564,?????????????,??????????," 18,922 ",43.22,21.33,37.50,31.25,0.00,100.00
2564,?????????????,??????????," 18,932 ",32.32,20.91,28.50,19.00,0.00,100.00
2564,?????????????,???????????," 18,927 ",35.98,12.61,34.25,31.50,2.75,94.50
2564,???????????,???????," 4,812 ",54.49,15.57,55.59,65.51,7.58,95.88
2564,???????????,??????????," 4,810 ",34.73,16.35,31.25,25.00,3.13,100.00
2564,???????????,??????????," 4,804 ",25.12,13.96,23.75,19.00,0.00,100.00
2564,???????????,???????????," 4,810 ",32.04,9.84,31.50,28.75,5.50,89.00
2564,???????,???????," 4,304 ",55.03,15.78,56.28,66.37,5.36,93.03
2564,???????,??????????," 4,302 ",37.54,18.12,34.38,28.13,3.13,100.00
2564,???????,??????????," 4,304 ",26.05,15.28,23.75,19.00,0.00,100.00
2564,???????,???????????," 4,302 ",32.62,10.14,31.50,28.75,4.75,89.00
2564,????????,???????," 4,472 ",56.23,16.53,57.41,61.03,7.08,95.89
2564,????????,??????????," 4,466 ",37.32,19.09,31.25,25.00,0.00,100.00
2564,????????,??????????," 4,465 ",28.60,18.59,23.75,19.00,0.00,100.00
2564,????????,???????????," 4,469 ",33.89,11.44,32.25,31.50,5.50,91.75
2564,???????????????,???????," 3,507 ",50.95,16.20,51.23,58.28,2.00,95.39
2564,???????????????,??????????," 3,505 ",30.35,13.71,28.13,28.13,3.13,96.88
2564,???????????????,??????????," 3,500 ",24.53,15.37,23.75,19.00,0.00,100.00
2564,???????????????,???????????," 3,506 ",31.16,9.77,30.00,28.75,7.50,80.75
2564,???????,???????," 1,217 ",53.23,15.56,54.37,59.40,10.60,89.80
2564,???????,??????????," 1,214 ",29.68,12.26,28.13,25.00,3.13,90.63
2564,???????,??????????," 1,215 ",24.57,14.04,23.75,19.00,0.00,100.00
2564,???????,???????????," 1,214 ",31.68,10.02,30.75,31.50,7.50,78.00
2564,??????,???????," 3,595 ",52.91,15.66,53.71,50.82,9.46,94.52
2564,??????,??????????," 3,594 ",32.16,14.66,28.13,28.13,6.25,96.88
2564,??????,??????????," 3,593 ",25.60,15.61,23.75,19.00,0.00,100.00
2564,??????,???????????," 3,594 ",32.14,10.28,30.75,24.00,4.75,91.75
2564,?????????,???????, 774 ,54.04,15.74,55.92,66.39,12.32,90.41
2564,?????????,??????????, 772 ,31.06,13.08,28.13,28.13,0.00,96.88
2564,?????????,??????????, 772 ,24.46,14.27,23.75,14.25,0.00,100.00
2564,?????????,???????????, 772 ,32.54,9.36,31.50,31.50,5.50,74.75
2564,??????,???????, 897 ,52.14,15.59,53.09,27.90,9.44,88.53
2564,??????,??????????, 895 ,29.54,11.82,28.13,25.00,6.25,84.38
2564,??????,??????????, 896 ,23.69,13.91,19.63,19.00,0.00,100.00
2564,??????,???????????, 895 ,31.52,9.78,30.75,24.00,8.25,73.25
2564,???????,???????," 3,192 ",53.03,15.50,53.80,62.39,9.72,91.92
2564,???????,??????????," 3,189 ",31.08,13.72,28.13,25.00,0.00,96.88
2564,???????,??????????," 3,194 ",23.78,13.05,23.75,19.00,0.00,100.00
2564,???????,???????????," 3,190 ",30.99,9.41,30.00,24.00,7.50,78.75
2564,??????,???????," 9,710 ",55.74,16.23,56.88,65.87,6.10,99.00
2564,??????,??????????," 9,708 ",36.02,17.43,31.25,28.13,0.00,100.00
2564,??????,??????????," 9,711 ",27.01,16.86,23.75,19.00,0.00,100.00
2564,??????,???????????," 9,708 ",32.91,10.69,31.50,31.50,2.75,94.50
2564,?????,???????," 3,658 ",55.52,15.21,56.42,51.56,12.32,94.25
2564,?????,??????????," 3,656 ",35.14,16.71,31.25,28.13,3.13,100.00
2564,?????,??????????," 3,656 ",26.09,15.89,23.75,19.00,0.00,100.00
2564,?????,???????????," 3,657 ",32.95,10.58,31.50,31.50,7.50,91.75
2564,????????,???????," 1,861 ",55.26,14.85,55.76,38.85,12.82,95.39
2564,????????,??????????," 1,858 ",32.42,14.76,28.13,28.13,3.13,93.75
2564,????????,??????????," 1,856 ",25.14,14.96,23.75,19.00,0.00,100.00
2564,????????,???????????," 1,858 ",32.36,9.96,31.50,26.75,5.50,89.75
2564,????,???????, 898 ,56.42,15.67,57.28,64.12,15.18,90.66
2564,????,??????????, 897 ,33.48,15.97,31.25,28.13,6.25,96.88
2564,????,??????????, 898 ,26.15,14.02,23.75,19.00,0.00,94.00
2564,????,???????????, 897 ,32.62,9.59,32.00,26.00,10.25,70.50
2564,??????????,???????," 2,720 ",53.76,16.58,54.70,65.75,5.86,97.00
2564,??????????,??????????," 2,717 ",33.14,15.34,31.25,28.13,3.13,100.00
2564,??????????,??????????," 2,715 ",25.74,15.54,23.75,19.00,0.00,100.00
2564,??????????,???????????," 2,719 ",32.32,10.11,31.50,28.75,8.25,78.75
2564,??????????,???????," 2,744 ",51.21,15.62,51.45,51.20,9.44,96.38
2564,??????????,??????????," 2,735 ",30.78,13.26,28.13,28.13,3.13,100.00
2564,??????????,??????????," 2,740 ",23.02,12.55,19.00,19.00,0.00,100.00
2564,??????????,???????????," 2,737 ",30.96,9.26,30.25,26.00,4.75,72.50
2564,???????,???????," 1,269 ",49.90,16.92,49.23,52.06,7.10,92.53
2564,???????,??????????," 1,267 ",30.04,13.70,28.13,25.00,3.13,90.63
2564,???????,??????????," 1,267 ",23.22,13.22,19.00,19.00,0.00,95.25
2564,???????,???????????," 1,269 ",30.63,9.39,29.50,26.75,7.50,91.75
2564,???????,???????," 2,754 ",51.20,14.86,51.55,55.28,8.46,90.39
2564,???????,??????????," 2,735 ",28.30,10.88,28.13,25.00,3.13,90.63
2564,???????,??????????," 2,757 ",22.47,10.64,19.00,19.00,0.00,85.75
2564,???????,???????????," 2,739 ",29.99,8.55,29.50,24.00,5.50,78.00
2564,??????????,???????," 13,772 ",49.80,15.98,50.29,52.31,2.00,94.28
2564,??????????,??????????," 13,707 ",29.71,12.95,28.13,25.00,0.00,100.00
2564,??????????,??????????," 13,769 ",23.48,13.36,20.25,19.00,0.00,100.00
2564,??????????,???????????," 13,718 ",31.01,9.46,30.00,26.75,0.00,92.50
2564,?????????,???????," 8,243 ",50.55,15.72,50.85,57.15,2.00,94.64
2564,?????????,??????????," 8,202 ",29.09,12.06,28.13,25.00,3.13,93.75
2564,?????????,??????????," 8,239 ",23.60,13.44,23.75,19.00,0.00,100.00
2564,?????????,???????????," 8,214 ",31.16,9.40,30.00,28.75,5.50,89.00
2564,????????,???????," 5,741 ",52.81,15.73,53.79,60.78,8.58,94.02
2564,????????,??????????," 5,698 ",29.72,12.05,28.13,25.00,0.00,100.00
2564,????????,??????????," 5,723 ",24.08,13.64,23.75,19.00,0.00,100.00
2564,????????,???????????," 5,721 ",31.41,9.25,30.75,28.75,5.50,76.00
2564,????????,???????," 11,827 ",46.73,16.12,46.59,60.14,3.25,95.03
2564,????????,??????????," 11,762 ",27.68,10.37,25.00,25.00,0.00,96.88
2564,????????,??????????," 11,795 ",21.92,11.30,19.00,19.00,0.00,100.00
2564,????????,???????????," 11,772 ",30.02,8.97,29.50,26.75,4.75,97.25
2564,???????????,???????," 13,320 ",46.67,16.14,46.59,54.54,3.00,93.53
2564,???????????,??????????," 13,235 ",28.29,11.80,28.13,25.00,0.00,96.88
2564,???????????,??????????," 13,287 ",22.30,12.76,19.00,19.00,0.00,100.00
2564,???????????,???????????," 13,277 ",30.02,9.15,29.50,28.75,2.75,94.50
2564,?????,???????," 3,407 ",47.70,16.03,47.82,40.74,3.50,91.02
2564,?????,??????????," 3,325 ",28.30,10.85,28.13,25.00,3.13,87.50
2564,?????,??????????," 3,411 ",22.38,11.88,19.00,19.00,0.00,100.00
2564,?????,???????????," 3,341 ",30.48,9.14,29.50,24.00,4.75,68.50
2564,???????,???????," 7,706 ",46.37,15.54,46.09,30.99,8.08,91.78
2564,???????,??????????," 7,676 ",28.00,10.79,28.13,21.88,3.13,93.75
2564,???????,??????????," 7,689 ",21.61,10.96,19.00,19.00,0.00,100.00
2564,???????,???????????," 7,689 ",29.74,8.62,29.25,28.75,5.50,78.00
2564,??????????,???????," 2,147 ",47.42,16.36,47.79,24.27,7.10,90.53
2564,??????????,??????????," 2,102 ",28.96,11.39,28.13,28.13,0.00,93.75
2564,??????????,??????????," 2,154 ",22.87,12.16,19.00,19.00,0.00,100.00
2564,??????????,???????????," 2,117 ",30.57,9.01,29.50,28.75,5.50,76.00
2564,??????,???????," 2,513 ",48.30,15.32,48.87,52.93,7.50,88.55
2564,??????,??????????," 2,488 ",27.32,9.75,28.13,28.13,3.13,87.50
2564,??????,??????????," 2,509 ",21.62,9.85,19.00,19.00,0.00,89.25
2564,??????,???????????," 2,495 ",29.94,8.41,29.50,26.00,2.75,62.25
2564,???????????,???????," 2,915 ",47.12,14.99,47.31,50.68,0.50,89.53
2564,???????????,??????????," 2,874 ",27.72,10.10,28.13,28.13,3.13,96.88
2564,???????????,??????????," 2,904 ",21.34,9.84,19.00,19.00,0.00,75.00
2564,???????????,???????????," 2,898 ",29.35,8.05,28.75,24.00,7.50,67.75
2564,???????,???????," 12,902 ",48.06,16.10,47.81,51.06,0.00,94.14
